SPARTA (24 Sep 2025)
Running on 96 MPI task(s)
Created orthogonal box = (-1 -0.5 -0.5) to (0.5 0.5 0.5)
Loaded NRLMSIS data: rho=6.524113695652e-11 nrho=1.887487e+15 T=1070.050217 vx=7754.9
MEAN FREE PATH = 1212.09285712342 m
MEAN MOLEC VEL = 1043.26587592037 m/s
CELL SIZE MUST BE LESS THAN 404.030952374473 m
MEAN COLL TIME = 1.16182546089137 s
MEAN TRANSIT TIME = 0.387275153630455 s
TIMESTEP MUST BE < 0.129091717876818 s
Created 45000000 child grid cells
  CPU time = 0.5096 secs
  create/ghost percent = 15.0417 84.9583
Balance grid migrated 43783125 cells
  CPU time = 1.32171 secs
  reassign/sort/migrate/ghost percent = 40.6136 0.749542 36.2066 22.4303
Reading surface file ...
  12 triangles
  -0.4475 0.4475 xlo xhi
  -0.28625 0.28625 ylo yhi
  -0.3395 0.3395 zlo zhi
  0.5725 min triangle edge length
  0.194364 min triangle area
  292332 = cells with surfs
  297720 = total surfs in all grid cells
  6 = max surfs in one grid cell
  171.75 = min surf-size/cell-size ratio
  292332 0 = cells overlapping surfs, overlap cells with unmarked corner pts
  1 tiny edges removed
  34508688 10198980 292332 = cells outside/inside/overlapping surfs
  292332 = surf cells with 1,2,etc splits
  1.15208888749427 1.1520888875 = cell-wise and global flow volume
  CPU time = 0.43816 secs
  read/check/sort/surf2grid/ghost/inout/particle percent = 1.46537 9.1417 10.6542 14.1848 64.554 57.032 0.00457139
  surf2grid time = 0.0621522 secs
  map/comm1/comm2/comm3/comm4/split percent = 32.2409 0 0 0 0 53.1521
0 = initial surface count in group ampt_xnorm
4 = final surface count in group ampt_xnorm
0 = initial surface count in group ampt_yznorm
8 = final surface count in group ampt_yznorm
Reading surface file ...
  64 triangles
  -0.4485 -0.4485 xlo xhi
  -0.000977 0.000977 ylo yhi
  -0.000977 0.000977 zlo zhi
  9.58782e-05 min triangle edge length
  4.67801e-08 min triangle area
  292336 = cells with surfs
  297976 = total surfs in all grid cells
  64 = max surfs in one grid cell
  0.0287635 = min surf-size/cell-size ratio
  292332 0 = cells overlapping surfs, overlap cells with unmarked corner pts
  2 tiny edges removed
  34508688 10198980 292332 = cells outside/inside/overlapping surfs
  292332 = surf cells with 1,2,etc splits
  1.15208888749427 1.1520888875 = cell-wise and global flow volume
  CPU time = 0.470869 secs
  read/check/sort/surf2grid/ghost/inout/particle percent = 0.424906 6.97505 9.66243 20.9905 61.9471 56.6384 0.00332895
  surf2grid time = 0.0988378 secs
  map/comm1/comm2/comm3/comm4/split percent = 57.5905 0 0 0 0 33.2987
particles per particle = 1887487
Creating particles ...
Created 768059258 particles
  CPU time = 8.91485 secs
flux check: expected nrho*vstream = 1.46372729363e+19 #/m^2/s
flux check (ion):     expected ne*vstream       = 7.02886609926e+15 #/m^2/s
flux check (neutral): expected (nrho-ne)*vstream = 1.46302440702007e+19 #/m^2/s
Memory usage per proc in Mbytes:
  particles (ave,min,max) = 977.312 0 1272
  grid      (ave,min,max) = 163.196 105.451 165.427
  surf      (ave,min,max) = 0.00956726 0.00956726 0.00956726
  total     (ave,min,max) = 1219.01 244.181 1516.18
Step CPU Np Natt Ncoll Nsreact c_Tbox c_drag c_drag_xnorm c_drag_walls c_ions[1] c_ions[6] c_probe_neut c_probe_ion 
    2600    6212.5452 1355249890    29308      345      127     27638.23 0.0018814109 0.0015891702 0.00029224072       342155            0 1.461207e+19            0 
    2700    6519.6065 1379364231    30170      345      110    27158.162 0.0018814386 0.0015891882 0.00029225048       342273            0 1.4606757e+19            0 
    2800    6919.6093 1403462259    31611      360      112    26694.238 0.0018814679 0.0015892125 0.00029225538       341699            0 1.4578191e+19            0 
    2900    7233.4338 1427564910    32186      364      122    26245.846  0.001881517 0.0015892541 0.00029226291       341953            0 1.4590711e+19            0 
    3000    7700.1401 1451653642    33416      370      120    25812.685 0.0018815268 0.0015892599 0.00029226691       341916            0 1.464021e+19            0 
    3100    8012.0578 1475766731    34460      404      122    25393.756 0.0018815492 0.0015892737 0.00029227553       341973            0 1.4591982e+19            0 
    3200    8399.6358 1499866624    35409      404      117    24988.385 0.0018815565 0.0015892804 0.00029227605       341966            0 1.4543812e+19            0 
    3300    8726.6917 1523961200    36929      428      138    24595.631 0.0018815857 0.0015893044 0.00029228126       341796            0 1.4501426e+19            0 
    3400    9124.6342 1548047703    37903      413      106    24215.007  0.001881605 0.0015893194 0.00029228563       341808            0 1.4519924e+19            0 
    3500    9467.5657 1572140680    38424      380       95    23846.198 0.0018816303 0.0015893472 0.00029228315       341850            0 1.447794e+19            0 
    3600    9869.7486 1596239326    39225      439      124    23488.884 0.0018816378 0.0015893523 0.00029228548       341593            0 1.4433036e+19            0 
    3700    10225.022 1620333054    40051      457      117     23141.95 0.0018816615 0.0015893667 0.00029229475       341775            0 1.4418665e+19            0 
    3800    10640.129 1644413212    41076      493      110    22805.221 0.0018816735   0.00158938 0.00029229352       341831            0 1.4387635e+19            0 
    3900    11007.833 1668497784    42422      484      109    22477.994 0.0018816994 0.0015893985 0.00029230088       341929            0 1.4348499e+19            0 
    4000    11382.843 1692586360    43064      536      118    22160.267 0.0018817163 0.0015894093 0.00029230693       341694            0 1.4429498e+19            0 
    4100    11762.575 1716671326    43834      493      123     21851.69 0.0018817204 0.0015894134 0.00029230702       341454            0 1.4425838e+19            0 
    4200    12322.201 1740755909    44936      532      119    21551.922 0.0018817184 0.0015894082 0.0002923102       341551            0 1.4469625e+19            0 
    4300    12705.137 1764837117    45374      531      110    21259.927 0.0018817398 0.0015894315 0.00029230827       341363            0 1.4452011e+19            0 
    4400    13095.718 1788909980    46943      546      112    20975.978 0.0018817419 0.0015894333 0.00029230857       341352            0 1.4469577e+19            0 
    4500    13495.704 1812978851    47854      562      108    20699.352 0.0018817594 0.0015894489 0.0002923105       341663            0 1.443804e+19            0 
    4600     13989.19 1837050898    48426      534      127    20430.263 0.0018817678 0.0015894533 0.00029231452       341882            0 1.4438703e+19            0 
    4700    14402.616 1861116789    49390      582      111    20168.138 0.0018817736 0.0015894574 0.0002923162       341561            0 1.4445373e+19            0 
    4800    14822.193 1885195276    50635      562      111    19912.913 0.0018817794 0.0015894656 0.00029231388       341648            0 1.4467523e+19            0 
    4900    15247.359 1909258555    51384      595      126    19664.011 0.0018817881 0.0015894713 0.00029231676       341290            0 1.4504205e+19            0 
    5000    15899.601 1933317850    51785      592      112    19421.085 0.0018818054 0.0015894837 0.0002923217       341219            0 1.4528075e+19            0 
    5100    16330.543 1957386537    53086      596      115    19184.688 0.0018818022 0.0015894815 0.0002923207       341658            0 1.4554716e+19            0 
    5200    16773.211 1981437460    53767      605      102    18953.701 0.0018818079 0.0015894835 0.0002923244       341588            0 1.4578515e+19            0 
    5300    17225.741 2005484942    54837      660      133    18728.361 0.0018818112 0.0015894836 0.00029232762       341634            0 1.459428e+19            0 
    5400    17682.541 2029527272    55652      644      118    18508.254 0.0018818243  0.001589494 0.00029233033       341584            0 1.4632223e+19            0 
    5500    18145.881 2053571798    56382      616      116    18293.397 0.0018818317 0.0015894962 0.00029233548       341867            0 1.4622372e+19            0 
    5600    18751.738 2077607953    57277      608      109    18083.428 0.0018818433 0.0015895068 0.00029233643       341219            0 1.4653393e+19            0 
    5700    19213.053 2101642378    58290      716      121    17878.489 0.0018818473   0.00158951 0.00029233734       341459            0 1.4616976e+19            0 
    5800    19686.606 2125677949    59183      681      132    17678.178 0.0018818576  0.001589519 0.00029233859       341294            0 1.4614418e+19            0 
    5900    20173.912 2149692273    60137      714      115    17482.448 0.0018818585 0.0015895175 0.00029234095       341230            0 1.4619959e+19            0 
    6000    20667.098 2173699333    61641      680      112     17290.89 0.0018818662 0.0015895216 0.00029234462       341297            0 1.4607981e+19            0 
    6100    21172.716 2197710148    61711      702      107    17103.667 0.0018818802 0.0015895312 0.00029234897       341495            0 1.4596396e+19 1.5500049e+15 
    6200    21969.614 2221707644    63168      753      106    16920.624 0.0018818812 0.0015895332 0.00029234802       341721            0 1.4597385e+19 1.5250088e+15 
    6300    22463.284 2245691867    63061      753      111    16741.612 0.0018818799 0.0015895339 0.00029234597       341537            0 1.4580332e+19 1.5008062e+15 
    6400    22974.771 2269676396    64179      737      106    16566.502 0.0018818818 0.0015895291 0.00029235268       341640            0 1.4624384e+19 1.4773598e+15 
    6500    23496.332 2293646844    65495      724      115    16394.852 0.0018818956 0.0015895365 0.00029235909       341437            0 1.4643807e+19 1.4546347e+15 
    6600    24022.698 2317598203    66229      739      118    16226.975 0.0018818987 0.0015895377 0.00029236106       341087            0 1.4631124e+19 1.4325981e+15 
    6700    24558.974 2341544738    67042      775      111    16062.662 0.0018819063  0.001589544 0.00029236235       341101            0 1.4649867e+19 1.4112192e+15 
    6800    25484.725 2365476166    67774      783      108    15901.876  0.001881908  0.001589546 0.00029236194       341448            0 1.4656934e+19 1.390469e+15 
    6900    25939.152 2389384794    68598      787      117    15744.424 0.0018819047 0.0015895451 0.00029235958       341139            0 1.4669278e+19 1.3703202e+15 
    7000    26415.119 2413268620    69490      826      137     15589.86 0.0018819128 0.0015895516 0.00029236111       341211            0 1.4669113e+19 1.350747e+15 
    7100    26909.761 2437148069    70278      853       97     15438.83 0.0018819088 0.0015895477 0.00029236107       341182            0 1.4676942e+19 1.3317251e+15 
    7200    27422.866 2460998411    70984      834      122    15290.496 0.0018819225 0.0015895599 0.00029236254       341205            0 1.4696373e+19 1.3132315e+15 
    7300    27949.365 2484835998    71910      830      113    15145.471 0.0018819227 0.0015895575 0.0002923652       341174            0 1.4690663e+19 2.5904889e+15 
    7400    28733.774 2508650882    72773      896      106    15003.034 0.0018819349 0.0015895648 0.00029237017       341179            0 1.4681273e+19 2.5554871e+15 
    7500    29274.548 2532441084    73713      808      118    14863.658 0.0018819353 0.0015895625 0.0002923728       341097            0 1.4684741e+19 2.5214184e+15 
    7600    29828.202 2556200540    74082      830      116    14726.807 0.0018819437  0.001589566 0.0002923777       341121            0 1.4694338e+19 2.4882462e+15 
    7700     30394.75 2579924835    74316      842      124    14592.712 0.0018819495 0.0015895665 0.00029238303       341022            0 1.4674215e+19 2.4559356e+15 
    7800    30977.102 2603611479    75963      910      101    14461.133 0.0018819528 0.0015895687 0.00029238413       341016            0 1.4692187e+19 2.4244532e+15 
    7900    31571.483 2627280206    76388      921      118    14332.325  0.001881957 0.0015895681 0.00029238898       340975            0 1.4669009e+19 2.3937678e+15 
    8000    32176.896 2650917581    77349      912      123    14205.938 0.0018819651 0.0015895729 0.00029239216       340580            0 1.4653503e+19 2.3638495e+15 
    8100    32794.751 2674520703    78033      903      120    14082.067 0.0018819703 0.0015895761 0.00029239424       340699            0 1.4657057e+19 2.3346698e+15 
    8200    33759.099 2698084396    78966      885      122    13960.511 0.0018819708 0.0015895767 0.00029239418       340649            0 1.4661677e+19 2.3062016e+15 
    8300    34354.931 2721602293    79133      933      112    13841.237 0.0018819716 0.0015895769 0.0002923947       340441            0 1.4670743e+19 2.2784194e+15 
    8400     34970.03 2745071625    80388     1004      108    13724.037 0.0018819772 0.0015895809 0.00029239624       340599            0 1.4643572e+19 2.2512986e+15 
    8500    35600.631 2768507193    81570      936      120    13609.197  0.001881981 0.0015895836 0.00029239739       340722            0 1.4637064e+19 2.2248159e+15 
    8600    36243.845 2791882275    82281      955       95    13496.132 0.0018819912 0.0015895911 0.00029240006       340679            0 1.4662591e+19 2.1989489e+15 
    8700    36896.957 2815225225    83192      998      114    13385.461  0.001881999 0.0015895953 0.00029240374       340624            0 1.4661448e+19 2.1736766e+15 
    8800    37561.124 2838514051    83956     1059      117    13276.817 0.0018820049 0.0015895967 0.00029240824       340617            0 1.4673225e+19 2.1489785e+15 
    8900    38228.299 2861759459    85127     1033      109    13170.345 0.0018820075 0.0015895974 0.00029241006       340707            0 1.4679425e+19 2.1248354e+15 
    9000    39213.746 2884944084    84829     1003      131    13065.603 0.0018820149 0.0015896003 0.0002924146       340549            0 1.4687589e+19 2.1012287e+15 
    9100    39863.696 2908072284    85926     1004      120    12962.758 0.0018820207 0.0015896047 0.00029241607       340929            0 1.4699729e+19 2.0781408e+15 
    9200    40536.303 2931156140    86813     1027      120    12862.025 0.0018820214 0.0015896031 0.00029241831       340806            0 1.4696189e+19 2.0555548e+15 
    9300     41215.71 2954172588    87327     1025      116    12763.061 0.0018820232 0.0015896013 0.00029242191       340917            0 1.4690692e+19 2.0334544e+15 
    9400    41911.866 2977115471    87752     1053      123    12665.517 0.0018820285 0.0015896039 0.00029242461       341313            0 1.4687323e+19 2.0118242e+15 
    9500    42615.055 3000015340    89180     1108      123    12570.054 0.0018820307 0.0015896068 0.00029242397       341141            0 1.471488e+19 1.9906494e+15 
    9600    43327.299 3022847848    90054     1080      117    12476.147 0.0018820399 0.0015896105 0.00029242942       340974            0 1.4722164e+19 1.9699156e+15 
    9700     44047.88 3045613613    90785     1125      112    12383.863  0.001882048 0.0015896142 0.00029243385       340875            0 1.4722475e+19 1.9496093e+15 
    9800    44781.094 3068322281    91931     1077      126    12293.574  0.001882043 0.0015896067 0.00029243632       341093            0 1.4720849e+19 1.9297173e+15 
    9900     45524.89 3090951630    92387     1143      109    12204.615  0.001882048 0.0015896118 0.00029243624       340946            0 1.4718301e+19 1.9102272e+15 
   10000    46817.734 3113507973    92809     1254      120    12117.305 0.0018820465  0.001589609 0.00029243754       341043            0 1.4714858e+19 1.8911269e+15 
   10100    47500.886 3135992844    93990     1149      111    12031.292 0.0018820543 0.0015896137 0.00029244064       341138            0 1.4696504e+19 1.8724047e+15 
   10200    48194.242 3158420929    94031     1131      105    11947.048 0.0018820565 0.0015896122 0.0002924443       341282            0 1.4681292e+19 1.8540496e+15 
   10300    48900.742 3180765642    94729     1105      144    11864.227 0.0018820571 0.0015896091 0.00029244807       341489            0 1.4661784e+19 1.8360508e+15 
   10400     49623.83 3203032889    95640     1169      112    11782.694 0.0018820634 0.0015896111 0.00029245227       341349            0 1.4674474e+19 1.8183982e+15 
   10500    50364.595 3225244216    96300     1169      128    11702.887 0.0018820636 0.0015896069 0.0002924567       341468            0 1.4688722e+19 2.7016227e+15 
   10600    51117.179 3247357262    96808     1186      129    11623.925 0.0018820768 0.0015896169 0.00029245993       341389            0 1.4678617e+19 2.6761381e+15 
   10700    51880.391 3269392796    97291     1191      123     11546.57 0.0018820803 0.0015896174 0.00029246287       341856            0 1.4667817e+19 2.6511298e+15 
   10800    52656.776 3291348449    98272     1181      101    11470.641 0.0018820778 0.0015896131 0.00029246468       341885            0 1.4674728e+19 2.6265845e+15 
   10900    53442.224 3313215066    98635     1239      113    11395.794 0.0018820794 0.0015896114 0.00029246795       341738            0 1.4691922e+19 2.6024896e+15 
